,School code,School Name,COMPOSITE_CLASS,COUNT,CLASS
5109,1001,Abbotsford Public School,PCT_COMPOSITE_CLASS_STUDENTS,53.5,14
5110,1002,Aberdeen Public School,PCT_COMPOSITE_CLASS_STUDENTS,14.5,14
5111,1003,Abermain Public School,PCT_COMPOSITE_CLASS_STUDENTS,90.9,14
5112,1007,Adaminaby Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5113,1008,Adamstown Public School,PCT_COMPOSITE_CLASS_STUDENTS,64.1,14
5114,1009,Adelong Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5115,3640,Afterlee Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5116,4177,Albert Park Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5117,1015,Albion Park Public School,PCT_COMPOSITE_CLASS_STUDENTS,20.3,14
5118,4121,Albion Park Rail Public School,PCT_COMPOSITE_CLASS_STUDENTS,8.5,14
5119,3922,Albury North Public School,PCT_COMPOSITE_CLASS_STUDENTS,59.8,14
5120,1017,Albury Public School,PCT_COMPOSITE_CLASS_STUDENTS,13.8,14
5121,1019,Albury West Public School,PCT_COMPOSITE_CLASS_STUDENTS,64.6,14
5122,4601,Aldavilla Public School,PCT_COMPOSITE_CLASS_STUDENTS,68,14
5123,8556,Alexandria Park Community School,PCT_COMPOSITE_CLASS_STUDENTS,59,14
5124,4605,Alfords Point Public School,PCT_COMPOSITE_CLASS_STUDENTS,84.3,14
5125,4200,Allambie Heights Public School,PCT_COMPOSITE_CLASS_STUDENTS,15.5,14
5126,1028,Alma Public School,PCT_COMPOSITE_CLASS_STUDENTS,74,14
5127,1030,Alstonville Public School,PCT_COMPOSITE_CLASS_STUDENTS,29.5,14
5128,4505,Ambarvale Public School,PCT_COMPOSITE_CLASS_STUDENTS,66.7,14
5129,1040,Anna Bay Public School,PCT_COMPOSITE_CLASS_STUDENTS,39.8,14
5130,1042,Annandale North Public School,PCT_COMPOSITE_CLASS_STUDENTS,10.9,14
5131,1041,Annandale Public School,PCT_COMPOSITE_CLASS_STUDENTS,27.9,14
5132,3719,Annangrove Public School,PCT_COMPOSITE_CLASS_STUDENTS,77.5,14
5133,4656,Anzac Park Public School,PCT_COMPOSITE_CLASS_STUDENTS,NULL,14
5134,1045,Appin Public School,PCT_COMPOSITE_CLASS_STUDENTS,72.2,14
5135,1048,Arcadia Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5136,4132,Arcadia Vale Public School,PCT_COMPOSITE_CLASS_STUDENTS,58.3,14
5137,1051,Ardlethan Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5138,3904,Argenton Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5139,1055,Ariah Park Central School,PCT_COMPOSITE_CLASS_STUDENTS,85.5,14
5140,1057,Armidale City Public School,PCT_COMPOSITE_CLASS_STUDENTS,83.6,14
5141,7401,Arncliffe Public School,PCT_COMPOSITE_CLASS_STUDENTS,40.3,14
5142,5103,Arncliffe West Infants School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5143,1061,Artarmon Public School,PCT_COMPOSITE_CLASS_STUDENTS,3.1,14
5144,1064,Ashbury Public School,PCT_COMPOSITE_CLASS_STUDENTS,41.7,14
5145,4344,Ashcroft Public School,PCT_COMPOSITE_CLASS_STUDENTS,85.1,14
5146,1065,Ashfield Public School,PCT_COMPOSITE_CLASS_STUDENTS,57.8,14
5147,1066,Ashford Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5148,4375,Ashmont Public School,PCT_COMPOSITE_CLASS_STUDENTS,27.9,14
5149,4642,Ashtonfield Public School,PCT_COMPOSITE_CLASS_STUDENTS,4.1,14
5150,1070,Asquith Public School,PCT_COMPOSITE_CLASS_STUDENTS,87.9,14
5151,3453,Athelstane Public School,PCT_COMPOSITE_CLASS_STUDENTS,26.6,14
5152,1071,Attunga Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5153,1073,Auburn North Public School,PCT_COMPOSITE_CLASS_STUDENTS,9.4,14
5154,7403,Auburn Public School,PCT_COMPOSITE_CLASS_STUDENTS,31,14
5155,1075,Auburn West Public School,PCT_COMPOSITE_CLASS_STUDENTS,10.6,14
5156,1076,Austinmer Public School,PCT_COMPOSITE_CLASS_STUDENTS,30.9,14
5157,1077,Austral Public School,PCT_COMPOSITE_CLASS_STUDENTS,50.3,14
5158,5104,Australia Street Infants School,PCT_COMPOSITE_CLASS_STUDENTS,21,14
5159,3792,Avalon Public School,PCT_COMPOSITE_CLASS_STUDENTS,10,14
5160,1082,Avoca Beach Public School,PCT_COMPOSITE_CLASS_STUDENTS,15.8,14
5161,1081,Avoca Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5162,1084,Awaba Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5163,1091,Badgerys Creek Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5164,4291,Balarang Public School,PCT_COMPOSITE_CLASS_STUDENTS,76.3,14
5165,1098,Bald Blair Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5166,3794,Bald Face Public School,PCT_COMPOSITE_CLASS_STUDENTS,67,14
5167,3736,Balgowlah Heights Public School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5168,3984,Balgowlah North Public School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5169,1106,Balgownie Public School,PCT_COMPOSITE_CLASS_STUDENTS,33.2,14
5170,1111,Ballimore Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5171,1112,Ballina Public School,PCT_COMPOSITE_CLASS_STUDENTS,86.8,14
5172,7404,Balmain Public School,PCT_COMPOSITE_CLASS_STUDENTS,39.5,14
5173,1115,Balranald Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5174,1118,Bangalow Public School,PCT_COMPOSITE_CLASS_STUDENTS,57.2,14
