,School Code,School Full Name,Original RAM Funding $,RAM Funding - post Adjustments $
0,1001.0,Abbotsford Public School,,
1,1002.0,Aberdeen Public School,,
2,1003.0,Abermain Public School,,
3,1007.0,Adaminaby Public School,,
4,1008.0,Adamstown Public School,,
5,1009.0,Adelong Public School,,
6,1015.0,Albion Park Public School,,
7,1016.0,Timbumburi Public School,,
8,1017.0,Albury Public School,,
9,1019.0,Albury West Public School,,
10,1028.0,Alma Public School,,
11,1030.0,Alstonville Public School,,
12,1040.0,Anna Bay Public School,,
13,1041.0,Annandale Public School,,
14,1042.0,Annandale North Public School,,
15,1045.0,Appin Public School,,
16,1048.0,Arcadia Public School,,
17,1051.0,Ardlethan Central School,,
18,1055.0,Ariah Park Central School,,
19,1057.0,Armidale City Public School,,
20,1058.0,Drummond Memorial Public School,,
21,1061.0,Artarmon Public School,,
22,1064.0,Ashbury Public School,,
23,1065.0,Ashfield Public School,,
24,1066.0,Ashford Central School,,
25,1070.0,Asquith Public School,,
26,1071.0,Attunga Public School,,
27,1073.0,Auburn North Public School,,
28,1075.0,Auburn West Public School,,
29,1076.0,Austinmer Public School,,
30,1077.0,Austral Public School,,
31,1081.0,Avoca Public School,,
32,1082.0,Avoca Beach Public School,,
33,1084.0,Awaba Public School,,
34,1085.0,Colo Vale Public School,,
35,1098.0,Bald Blair Public School,,
36,1104.0,Seaforth Public School,,
37,1106.0,Balgownie Public School,,
38,1111.0,Ballimore Public School,,
39,1112.0,Ballina Public School,,
40,1115.0,Balranald Central School,,
41,1118.0,Bangalow Public School,,
42,1121.0,Banksmeadow Public School,,
43,1123.0,Greenacre Public School,,
44,1124.0,Bankstown North Public School,,
45,1129.0,Banora Point Public School,,
46,1130.0,Baradine Central School,,
47,1131.0,Barellan Central School,,
48,1134.0,Bargo Public School,,
49,1135.0,Barham Public School,,
50,1136.0,Barkers Vale Public School,,
51,1137.0,Barmedman Public School,,
52,1138.0,Barnsley Public School,,
53,1139.0,Barooga Public School,,
54,1140.0,Barraba Central School,,
55,1143.0,Barrington Public School,,
56,1146.0,Baryulgil Public School,,
57,1148.0,Bass Hill Public School,,
58,1149.0,Batemans Bay Public School,,
59,1150.0,Bathurst Public School,,
60,1152.0,Batlow Technology School,,
61,1160.0,Beckom Public School,,
62,1164.0,Bedgerabong Public School,,
63,1165.0,Beechwood Public School,,
64,1166.0,Beecroft Public School,,
65,1167.0,Beelbangera Public School,,
66,1168.0,Bega Valley Public School,,
67,1175.0,Bellata Public School,,
68,1177.0,Bellbird Public School,,
69,1178.0,Bellbrook Public School,,
70,1179.0,Bellevue Hill Public School,,
71,1181.0,Bellingen Public School,,
72,1182.0,Belltrees Public School,,
73,1183.0,Belmont Public School,,
74,1185.0,Belmore North Public School,,
75,1186.0,Belmore South Public School,,
76,1189.0,Bemboka Public School,,
77,1191.0,Bendemeer Public School,,
78,1196.0,Ben Lomond Public School,,
79,1198.0,Ben Venue Public School,,
80,1199.0,Berala Public School,,
81,1201.0,Beresfield Public School,,
82,1202.0,Berkeley Public School,,
83,1203.0,Berkeley Vale Public School,,
84,1204.0,Bermagui Public School,,
85,1205.0,Berowra Public School,,
86,1206.0,Berridale Public School,,
87,1207.0,Berrigan Public School,,
88,1209.0,Berrima Public School,,
89,1211.0,Berry Public School,,
90,1215.0,Beverly Hills Public School,,
91,1217.0,Bexhill Public School,,
