,school_code,school_name,Year,Attendance
0,1001,Abbotsford Public School,2011,94.3
1,1002,Aberdeen Public School,2011,93.6
2,1003,Abermain Public School,2011,93.5
3,1007,Adaminaby Public School,2011,95.4
4,1008,Adamstown Public School,2011,94.8
5,1009,Adelong Public School,2011,93.5
6,8493,Airds High School,2011,81.2
7,4177,Albert Park Public School,2011,89.6
8,8586,Albion Park High School,2011,88.6
9,1015,Albion Park Public School,2011,93.6
10,4121,Albion Park Rail Public School,2011,92.5
11,8101,Albury High School,2011,88.4
12,3922,Albury North Public School,2011,92.6
13,1017,Albury Public School,2011,95.0
14,1019,Albury West Public School,2011,92.0
15,4601,Aldavilla Public School,2011,92.3
16,8556,Alexandria Park Community School,2011,91.9
17,4605,Alfords Point Public School,2011,94.9
18,4200,Allambie Heights Public School,2011,93.8
19,1028,Alma Public School,2011,89.4
20,8578,Alstonville High School,2011,90.0
21,1030,Alstonville Public School,2011,93.3
22,8570,Ambarvale High School,2011,86.9
23,4505,Ambarvale Public School,2011,92.0
24,1040,Anna Bay Public School,2011,94.2
25,1042,Annandale North Public School,2011,95.5
26,1041,Annandale Public School,2011,95.6
27,3719,Annangrove Public School,2011,93.1
28,1045,Appin Public School,2011,94.5
29,1048,Arcadia Public School,2011,95.2
30,4132,Arcadia Vale Public School,2011,94.7
31,1051,Ardlethan Central School,2011,90.1
32,3904,Argenton Public School,2011,91.0
33,1055,Ariah Park Central School,2011,91.2
34,1057,Armidale City Public School,2011,94.3
35,7401,Arncliffe Public School,2011,96.1
36,5103,Arncliffe West Infants School,2011,97.1
37,1061,Artarmon Public School,2011,96.3
38,8892,Arthur Phillip High School,2011,88.7
39,1064,Ashbury Public School,2011,94.5
40,8397,Ashcroft High School,2011,86.5
41,4344,Ashcroft Public School,2011,91.4
42,8832,Ashfield Boys High School,2011,91.3
43,1065,Ashfield Public School,2011,95.1
44,1066,Ashford Central School,2011,91.9
45,4375,Ashmont Public School,2011,90.5
46,4642,Ashtonfield Public School,2011,94.8
47,8245,Asquith Boys High School,2011,91.2
48,8222,Asquith Girls High School,2011,94.1
49,1070,Asquith Public School,2011,95.2
50,3453,Athelstane Public School,2011,94.4
51,1071,Attunga Public School,2011,96.4
52,8253,Auburn Girls High School,2011,91.3
53,1073,Auburn North Public School,2011,94.9
54,7403,Auburn Public School,2011,95.7
55,1075,Auburn West Public School,2011,95.9
56,1076,Austinmer Public School,2011,95.4
57,1077,Austral Public School,2011,94.2
58,5104,Australia Street Infants School,2011,94.9
59,3792,Avalon Public School,2011,94.1
60,1082,Avoca Beach Public School,2011,95.4
61,1081,Avoca Public School,2011,90.0
62,1084,Awaba Public School,2011,91.7
63,4291,Balarang Public School,2011,94.3
64,1098,Bald Blair Public School,2011,95.1
65,3794,Bald Face Public School,2011,96.0
66,3736,Balgowlah Heights Public School,2011,95.0
67,3984,Balgowlah North Public School,2011,96.2
68,1106,Balgownie Public School,2011,96.1
69,1111,Ballimore Public School,2011,96.5
70,8195,Ballina Coast High School,2011,85.0
71,1112,Ballina Public School,2011,91.9
72,7404,Balmain Public School,2011,97.4
73,1115,Balranald Central School,2011,90.4
74,1118,Bangalow Public School,2011,93.1
75,4536,Bangor Public School,2011,94.9
76,4571,Banks Public School,2011,93.5
77,4217,Banksia Road Public School,2011,94.9
78,1121,Banksmeadow Public School,2011,95.0
79,8254,Bankstown Girls High School,2011,88.0
80,1124,Bankstown North Public School,2011,95.2
81,7405,Bankstown Public School,2011,93.8
82,8381,Bankstown Senior College,2011,86.6
83,5246,Bankstown South Infants School,2011,96.6
84,4142,Bankstown West Public School,2011,95.2
85,8282,Banora Point High School,2011,84.7
86,1129,Banora Point Public School,2011,94.6
87,1130,Baradine Central School,2011,89.6
88,4311,Bardia Public School,2011,95.1
89,5148,Bardwell Park Infants School,2011,94.9
90,1131,Barellan Central School,2011,92.5
91,1134,Bargo Public School,2011,95.1
92,8461,Barham High School,2011,89.9
93,1135,Barham Public School,2011,94.3
94,1136,Barkers Vale Public School,2011,86.1
95,1137,Barmedman Public School,2011,96.2
96,4599,Barnier Public School,2011,94.5
97,1138,Barnsley Public School,2011,93.9
98,1139,Barooga Public School,2011,91.7
99,1140,Barraba Central School,2011,92.3
100,4501,Barrack Heights Public School,2011,91.9
101,8454,Barrenjoey High School,2011,91.0
102,1143,Barrington Public School,2011,93.3
103,1146,Baryulgil Public School,2011,79.5
104,8223,Bass High School,2011,86.7
105,1148,Bass Hill Public School,2011,93.7
106,4520,Bateau Bay Public School,2011,93.1
107,8581,Batemans Bay High School,2011,86.4
108,1149,Batemans Bay Public School,2011,93.1
109,1150,Bathurst Public School,2011,93.0
110,3847,Bathurst South Public School,2011,93.3
111,3824,Bathurst West Public School,2011,94.0
112,1152,Batlow Technology School,2011,91.2
113,8464,Baulkham Hills High School,2011,96.7
114,4377,Baulkham Hills North Public School,2011,95.3
115,3971,Beacon Hill Public School,2011,94.9
116,4630,Beaumont Hills Public School,2011,94.8
117,3956,Beaumont Road Public School,2011,95.7
118,5212,Beauty Point Public School,2011,95.8
119,1160,Beckom Public School,2011,96.6
120,1164,Bedgerabong Public School,2011,95.1
121,1165,Beechwood Public School,2011,92.9
122,1166,Beecroft Public School,2011,96.1
123,1167,Beelbangera Public School,2011,94.2
124,8165,Bega High School,2011,89.2
125,1168,Bega Valley Public School,2011,92.1
126,4370,Belair Public School,2011,95.3
127,3979,Bellambi Public School,2011,92.8
128,1175,Bellata Public School,2011,95.9
129,1177,Bellbird Public School,2011,92.3
130,1178,Bellbrook Public School,2011,91.3
131,1179,Bellevue Hill Public School,2011,95.4
132,8258,Bellingen High School,2011,87.0
133,1181,Bellingen Public School,2011,93.3
134,1182,Belltrees Public School,2011,93.8
135,8203,Belmont High School,2011,88.5
136,3927,Belmont North Public School,2011,93.8
137,1183,Belmont Public School,2011,93.4
138,8804,Belmore Boys High School,2011,88.8
139,1185,Belmore North Public School,2011,95.3
140,1186,Belmore South Public School,2011,94.6
141,3748,Belrose Public School,2011,96.7
142,1189,Bemboka Public School,2011,94.4
143,1196,Ben Lomond Public School,2011,91.6
144,1198,Ben Venue Public School,2011,94.8
145,1191,Bendemeer Public School,2011,95.1
146,4285,Bennett Road Public School,2011,92.1
147,1199,Berala Public School,2011,94.9
148,1201,Beresfield Public School,2011,93.1
149,4405,Beresford Road Public School,2011,94.6
150,4450,Berinba Public School,2011,92.3
151,1202,Berkeley Public School,2011,90.8
152,1203,Berkeley Vale Public School,2011,94.6
153,4180,Berkeley West Public School,2011,94.4
154,1204,Bermagui Public School,2011,89.7
155,1205,Berowra Public School,2011,95.7
156,1206,Berridale Public School,2011,92.4
157,1207,Berrigan Public School,2011,94.3
158,1209,Berrima Public School,2011,94.3
159,1211,Berry Public School,2011,92.7
160,4192,Bert Oldfield Public School,2011,94.6
161,8255,Beverly Hills Girls High School,2011,96.3
162,3944,Beverly Hills North Public School,2011,96.2
163,1215,Beverly Hills Public School,2011,94.2
164,1217,Bexhill Public School,2011,94.7
165,2308,Bexley North Public School,2011,95.6
166,7406,Bexley Public School,2011,93.3
167,4206,Biddabah Public School,2011,94.8
168,4480,Bidwill Public School,2011,88.4
169,1223,Bigga Public School,2011,94.0
170,1224,Bilambil Public School,2011,93.3
171,4359,Bilgola Plateau Public School,2011,94.4
172,8503,Billabong High School,2011,88.1
173,1228,Bilpin Public School,2011,95.2
174,1230,Binalong Public School,2011,91.0
175,1231,Binda Public School,2011,
176,1234,Bingara Central School,2011,90.2
177,1237,Binnaway Central School,2011,92.8
178,1238,Binya Public School,2011,91.7
179,3988,Biraban Public School,2011,89.6
180,1240,Birchgrove Public School,2011,94.8
181,8213,Birrong Boys High School,2011,87.2
182,8854,Birrong Girls High School,2011,92.7
183,4057,Birrong Public School,2011,94.7
184,1247,Black Hill Public School,2011,95.4
185,1249,Black Mountain Public School,2011,93.1
186,4190,Black Springs Public School,2011,94.8
187,3966,Blackalls Park Public School,2011,93.4
188,4453,Blackett Public School,2011,88.1
189,1246,Blackheath Public School,2011,92.5
190,4197,Blacksmiths Public School,2011,94.0
191,8244,Blacktown Boys High School,2011,89.8
192,8224,Blacktown Girls High School,2011,90.1
193,4061,Blacktown North Public School,2011,96.2
194,4193,Blacktown South Public School,2011,95.3
195,4116,Blacktown West Public School,2011,93.5
196,1252,Blackville Public School,2011,95.5
197,4559,Blackwell Public School,2011,94.1
198,4535,Blairmount Public School,2011,91.8
199,1254,Blakebrook Public School,2011,93.2
200,8236,Blakehurst High School,2011,93.3
201,1255,Blakehurst Public School,2011,95.3
202,1256,Blandford Public School,2011,95.5
203,1257,Blaxcell Street Public School,2011,95.1
204,4313,Blaxland East Public School,2011,96.0
205,8522,Blaxland High School,2011,90.8
206,1258,Blaxland Public School,2011,93.5
207,8357,Blayney High School,2011,91.6
208,1260,Blayney Public School,2011,93.0
209,5265,Bletchington Public School,2011,94.6
210,4585,Bligh Park Public School,2011,94.9
211,1261,Blighty Public School,2011,94.8
212,4623,Blue Haven Public School,2011,93.1
213,1266,Boambee Public School,2011,94.2
214,1269,Bobin Public School,2011,90.3
215,1271,Bobs Farm Public School,2011,93.0
216,1272,Bodalla Public School,2011,93.8
217,1274,Bogan Gate Public School,2011,95.7
218,4632,Bogangar Public School,2011,92.3
219,1275,Boggabilla Central School,2011,71.4
220,1276,Boggabri Public School,2011,93.7
221,1286,Bolwarra Public School,2011,95.1
222,8448,Bomaderry High School,2011,86.0
223,1287,Bomaderry Public School,2011,89.7
224,8486,Bombala High School,2011,92.9
225,1288,Bombala Public School,2011,93.4
226,1290,Bonalbo Central School,2011,79.2
227,1292,Bondi Beach Public School,2011,94.2
228,7407,Bondi Public School,2011,95.8
229,1293,Bongongo Public School,2011,92.2
230,2532,Bonnells Bay Public School,2011,92.7
231,4507,Bonnet Bay Public School,2011,94.9
232,4594,Bonnyrigg Heights Public School,2011,94.3
233,8260,Bonnyrigg High School,2011,92.4
234,4545,Bonnyrigg Public School,2011,93.2
235,1296,Bonshaw Public School,2011,93.0
236,1297,Bonville Public School,2011,94.9
237,1302,Boolaroo Public School,2011,91.7
238,1303,Booligal Public School,2011,93.9
239,1307,Boomi Public School,2011,93.7
240,4017,Booragul Public School,2011,92.6
241,1311,Booral Public School,2011,94.9
242,1313,Boorowa Central School,2011,90.5
243,1318,Boree Creek Public School,2011,95.0
244,3504,Borenore Public School,2011,94.1
245,1320,Boronia Park Public School,2011,95.4
246,8582,Bossley Park High School,2011,93.5
247,1321,Bossley Park Public School,2011,95.1
248,1323,Botany Public School,2011,96.2
249,8355,Bourke High School,2011,80.2
250,1326,Bourke Public School,2011,90.4
251,7408,Bourke Street Public School,2011,93.7
252,4538,Bowen Public School,2011,88.4
253,1334,Bowning Public School,2011,92.6
254,8104,Bowral High School,2011,88.8
255,1335,Bowral Public School,2011,93.4
256,1336,Bowraville Central School,2011,87.2
257,4403,Bradbury Public School,2011,93.7
258,4525,Braddock Public School,2011,90.8
259,4406,Bradfordville Public School,2011,93.3
260,1340,Braidwood Central School,2011,89.3
261,1341,Branxton Public School,2011,93.4
262,1345,Breadalbane Public School,2011,96.4
263,1347,Bredbo Public School,2011,93.2
264,1350,Brewarrina Central School,2011,75.8
265,4458,Briar Road Public School,2011,92.2
266,1354,Bribbaree Public School,2011,90.4
267,1358,Brighton-Le-Sands Public School,2011,95.2
268,1360,Bringelly Public School,2011,94.6
269,8513,Brisbane Water Secondary College Umina Campus,2011,87.9
270,8374,Brisbane Water Secondary College Woy Woy Campus,2011,86.6
271,1498,Brisbania Public School,2011,94.1
272,1361,Broadwater Public School,2011,96.3
273,1363,Brocklesby Public School,2011,93.4
274,1367,Broke Public School,2011,93.9
275,8105,Broken Hill High School,2011,86.4
276,1371,Broken Hill North Public School,2011,89.5
277,1369,Broken Hill Public School,2011,91.0
278,1372,Bronte Public School,2011,95.9
