,School code,School Name,COMPOSITE_CLASS,COUNT,CLASS
0,1001,Abbotsford Public School,COMPOSITE_CLASS_COUNT,11,14
1,1002,Aberdeen Public School,COMPOSITE_CLASS_COUNT,1,14
2,1003,Abermain Public School,COMPOSITE_CLASS_COUNT,8,14
3,1007,Adaminaby Public School,COMPOSITE_CLASS_COUNT,1,14
4,1008,Adamstown Public School,COMPOSITE_CLASS_COUNT,5,14
5,1009,Adelong Public School,COMPOSITE_CLASS_COUNT,4,14
6,3640,Afterlee Public School,COMPOSITE_CLASS_COUNT,1,14
7,4177,Albert Park Public School,COMPOSITE_CLASS_COUNT,3,14
8,1015,Albion Park Public School,COMPOSITE_CLASS_COUNT,3,14
9,4121,Albion Park Rail Public School,COMPOSITE_CLASS_COUNT,1,14
10,3922,Albury North Public School,COMPOSITE_CLASS_COUNT,6,14
11,1017,Albury Public School,COMPOSITE_CLASS_COUNT,3,14
12,1019,Albury West Public School,COMPOSITE_CLASS_COUNT,4,14
13,4601,Aldavilla Public School,COMPOSITE_CLASS_COUNT,7,14
14,8556,Alexandria Park Community School,COMPOSITE_CLASS_COUNT,5,14
15,4605,Alfords Point Public School,COMPOSITE_CLASS_COUNT,7,14
16,4200,Allambie Heights Public School,COMPOSITE_CLASS_COUNT,3,14
17,1028,Alma Public School,COMPOSITE_CLASS_COUNT,7,14
18,1030,Alstonville Public School,COMPOSITE_CLASS_COUNT,6,14
19,4505,Ambarvale Public School,COMPOSITE_CLASS_COUNT,6,14
20,1040,Anna Bay Public School,COMPOSITE_CLASS_COUNT,5,14
21,1042,Annandale North Public School,COMPOSITE_CLASS_COUNT,2,14
22,1041,Annandale Public School,COMPOSITE_CLASS_COUNT,4,14
23,3719,Annangrove Public School,COMPOSITE_CLASS_COUNT,3,14
24,4656,Anzac Park Public School,COMPOSITE_CLASS_COUNT,0,14
25,1045,Appin Public School,COMPOSITE_CLASS_COUNT,6,14
26,1048,Arcadia Public School,COMPOSITE_CLASS_COUNT,4,14
27,4132,Arcadia Vale Public School,COMPOSITE_CLASS_COUNT,3,14
28,1051,Ardlethan Central School,COMPOSITE_CLASS_COUNT,3,14
29,3904,Argenton Public School,COMPOSITE_CLASS_COUNT,2,14
30,1055,Ariah Park Central School,COMPOSITE_CLASS_COUNT,3,14
31,1057,Armidale City Public School,COMPOSITE_CLASS_COUNT,13,14
32,7401,Arncliffe Public School,COMPOSITE_CLASS_COUNT,6,14
33,5103,Arncliffe West Infants School,COMPOSITE_CLASS_COUNT,0,14
34,1061,Artarmon Public School,COMPOSITE_CLASS_COUNT,1,14
35,1064,Ashbury Public School,COMPOSITE_CLASS_COUNT,6,14
36,4344,Ashcroft Public School,COMPOSITE_CLASS_COUNT,11,14
37,1065,Ashfield Public School,COMPOSITE_CLASS_COUNT,6,14
38,1066,Ashford Central School,COMPOSITE_CLASS_COUNT,4,14
39,4375,Ashmont Public School,COMPOSITE_CLASS_COUNT,3,14
40,4642,Ashtonfield Public School,COMPOSITE_CLASS_COUNT,1,14
41,1070,Asquith Public School,COMPOSITE_CLASS_COUNT,11,14
42,3453,Athelstane Public School,COMPOSITE_CLASS_COUNT,3,14
43,1071,Attunga Public School,COMPOSITE_CLASS_COUNT,2,14
44,1073,Auburn North Public School,COMPOSITE_CLASS_COUNT,2,14
45,7403,Auburn Public School,COMPOSITE_CLASS_COUNT,8,14
46,1075,Auburn West Public School,COMPOSITE_CLASS_COUNT,3,14
47,1076,Austinmer Public School,COMPOSITE_CLASS_COUNT,4,14
48,1077,Austral Public School,COMPOSITE_CLASS_COUNT,6,14
49,5104,Australia Street Infants School,COMPOSITE_CLASS_COUNT,1,14
50,3792,Avalon Public School,COMPOSITE_CLASS_COUNT,3,14
51,1082,Avoca Beach Public School,COMPOSITE_CLASS_COUNT,3,14
52,1081,Avoca Public School,COMPOSITE_CLASS_COUNT,2,14
53,1084,Awaba Public School,COMPOSITE_CLASS_COUNT,2,14
54,1091,Badgerys Creek Public School,COMPOSITE_CLASS_COUNT,1,14
55,4291,Balarang Public School,COMPOSITE_CLASS_COUNT,10,14
56,1098,Bald Blair Public School,COMPOSITE_CLASS_COUNT,2,14
57,3794,Bald Face Public School,COMPOSITE_CLASS_COUNT,7,14
58,3736,Balgowlah Heights Public School,COMPOSITE_CLASS_COUNT,0,14
59,3984,Balgowlah North Public School,COMPOSITE_CLASS_COUNT,0,14
60,1106,Balgownie Public School,COMPOSITE_CLASS_COUNT,4,14
61,1111,Ballimore Public School,COMPOSITE_CLASS_COUNT,1,14
62,1112,Ballina Public School,COMPOSITE_CLASS_COUNT,10,14
63,7404,Balmain Public School,COMPOSITE_CLASS_COUNT,4,14
64,1115,Balranald Central School,COMPOSITE_CLASS_COUNT,4,14
65,1118,Bangalow Public School,COMPOSITE_CLASS_COUNT,6,14
66,4536,Bangor Public School,COMPOSITE_CLASS_COUNT,2,14
67,4571,Banks Public School,COMPOSITE_CLASS_COUNT,3,14
68,4217,Banksia Road Public School,COMPOSITE_CLASS_COUNT,4,14
69,1121,Banksmeadow Public School,COMPOSITE_CLASS_COUNT,3,14
70,1124,Bankstown North Public School,COMPOSITE_CLASS_COUNT,9,14
71,7405,Bankstown Public School,COMPOSITE_CLASS_COUNT,2,14
72,5246,Bankstown South Infants School,COMPOSITE_CLASS_COUNT,1,14
73,4142,Bankstown West Public School,COMPOSITE_CLASS_COUNT,5,14
74,1129,Banora Point Public School,COMPOSITE_CLASS_COUNT,10,14
75,1130,Baradine Central School,COMPOSITE_CLASS_COUNT,3,14
76,4311,Bardia Public School,COMPOSITE_CLASS_COUNT,4,14
77,5148,Bardwell Park Infants School,COMPOSITE_CLASS_COUNT,0,14
78,1131,Barellan Central School,COMPOSITE_CLASS_COUNT,3,14
79,1134,Bargo Public School,COMPOSITE_CLASS_COUNT,6,14
80,1135,Barham Public School,COMPOSITE_CLASS_COUNT,6,14
81,1136,Barkers Vale Public School,COMPOSITE_CLASS_COUNT,3,14
82,1137,Barmedman Public School,COMPOSITE_CLASS_COUNT,1,14
83,4599,Barnier Public School,COMPOSITE_CLASS_COUNT,3,14
84,1138,Barnsley Public School,COMPOSITE_CLASS_COUNT,9,14
85,1139,Barooga Public School,COMPOSITE_CLASS_COUNT,5,14
86,1140,Barraba Central School,COMPOSITE_CLASS_COUNT,4,14
87,4501,Barrack Heights Public School,COMPOSITE_CLASS_COUNT,8,14
88,4671,Barramurra Public School,COMPOSITE_CLASS_COUNT,0,14
89,1143,Barrington Public School,COMPOSITE_CLASS_COUNT,3,14
90,1146,Baryulgil Public School,COMPOSITE_CLASS_COUNT,1,14
91,1148,Bass Hill Public School,COMPOSITE_CLASS_COUNT,7,14
92,4520,Bateau Bay Public School,COMPOSITE_CLASS_COUNT,4,14
93,1149,Batemans Bay Public School,COMPOSITE_CLASS_COUNT,6,14
94,1150,Bathurst Public School,COMPOSITE_CLASS_COUNT,9,14
95,3847,Bathurst South Public School,COMPOSITE_CLASS_COUNT,6,14
96,3824,Bathurst West Public School,COMPOSITE_CLASS_COUNT,7,14
97,1152,Batlow Technology School,COMPOSITE_CLASS_COUNT,3,14
98,4377,Baulkham Hills North Public School,COMPOSITE_CLASS_COUNT,3,14
99,4660,Bayanami Public School,COMPOSITE_CLASS_COUNT,0,14
100,3971,Beacon Hill Public School,COMPOSITE_CLASS_COUNT,2,14
101,4630,Beaumont Hills Public School,COMPOSITE_CLASS_COUNT,7,14
102,3956,Beaumont Road Public School,COMPOSITE_CLASS_COUNT,2,14
103,5212,Beauty Point Public School,COMPOSITE_CLASS_COUNT,0,14
104,1160,Beckom Public School,COMPOSITE_CLASS_COUNT,1,14
105,1164,Bedgerabong Public School,COMPOSITE_CLASS_COUNT,3,14
106,1165,Beechwood Public School,COMPOSITE_CLASS_COUNT,4,14
107,1166,Beecroft Public School,COMPOSITE_CLASS_COUNT,1,14
108,1167,Beelbangera Public School,COMPOSITE_CLASS_COUNT,6,14
109,1168,Bega Valley Public School,COMPOSITE_CLASS_COUNT,12,14
110,4370,Belair Public School,COMPOSITE_CLASS_COUNT,2,14
111,4663,Bella Vista Public School,COMPOSITE_CLASS_COUNT,0,14
112,3979,Bellambi Public School,COMPOSITE_CLASS_COUNT,6,14
113,1175,Bellata Public School,COMPOSITE_CLASS_COUNT,2,14
114,1177,Bellbird Public School,COMPOSITE_CLASS_COUNT,9,14
115,1178,Bellbrook Public School,COMPOSITE_CLASS_COUNT,2,14
116,1179,Bellevue Hill Public School,COMPOSITE_CLASS_COUNT,2,14
117,1180,Bellimbopinni Public School,COMPOSITE_CLASS_COUNT,1,14
118,1181,Bellingen Public School,COMPOSITE_CLASS_COUNT,7,14
119,1182,Belltrees Public School,COMPOSITE_CLASS_COUNT,1,14
120,3927,Belmont North Public School,COMPOSITE_CLASS_COUNT,4,14
121,1183,Belmont Public School,COMPOSITE_CLASS_COUNT,7,14
122,1185,Belmore North Public School,COMPOSITE_CLASS_COUNT,5,14
123,1186,Belmore South Public School,COMPOSITE_CLASS_COUNT,8,14
124,3748,Belrose Public School,COMPOSITE_CLASS_COUNT,3,14
125,1189,Bemboka Public School,COMPOSITE_CLASS_COUNT,3,14
126,1196,Ben Lomond Public School,COMPOSITE_CLASS_COUNT,1,14
127,1198,Ben Venue Public School,COMPOSITE_CLASS_COUNT,1,14
128,1191,Bendemeer Public School,COMPOSITE_CLASS_COUNT,2,14
129,4285,Bennett Road Public School,COMPOSITE_CLASS_COUNT,2,14
130,1199,Berala Public School,COMPOSITE_CLASS_COUNT,0,14
131,1201,Beresfield Public School,COMPOSITE_CLASS_COUNT,11,14
132,4405,Beresford Road Public School,COMPOSITE_CLASS_COUNT,7,14
133,4450,Berinba Public School,COMPOSITE_CLASS_COUNT,5,14
134,1202,Berkeley Public School,COMPOSITE_CLASS_COUNT,7,14
135,1203,Berkeley Vale Public School,COMPOSITE_CLASS_COUNT,4,14
136,4180,Berkeley West Public School,COMPOSITE_CLASS_COUNT,6,14
137,1204,Bermagui Public School,COMPOSITE_CLASS_COUNT,5,14
138,1205,Berowra Public School,COMPOSITE_CLASS_COUNT,2,14
139,1206,Berridale Public School,COMPOSITE_CLASS_COUNT,3,14
140,1207,Berrigan Public School,COMPOSITE_CLASS_COUNT,4,14
141,1209,Berrima Public School,COMPOSITE_CLASS_COUNT,3,14
142,1211,Berry Public School,COMPOSITE_CLASS_COUNT,7,14
143,4192,Bert Oldfield Public School,COMPOSITE_CLASS_COUNT,6,14
144,3944,Beverly Hills North Public School,COMPOSITE_CLASS_COUNT,10,14
145,1215,Beverly Hills Public School,COMPOSITE_CLASS_COUNT,9,14
146,1217,Bexhill Public School,COMPOSITE_CLASS_COUNT,4,14
147,2308,Bexley North Public School,COMPOSITE_CLASS_COUNT,7,14
