,school_code,school_name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,School code,School Name,COMPOSITE_CLASS,14,15,16,17,18,19,21,22
0,1001,Abbotsford Public School,94.3,95.9,95.7,95.3,94.6,95.2,94.1,94.9,94.3,94.3,89.0,1001,Abbotsford Public School,COMPOSITE_CLASS_COUNT,11.0,6.0,6.0,8.0,12.0,7.0,11.0,11.0
1,1001,Abbotsford Public School,94.3,95.9,95.7,95.3,94.6,95.2,94.1,94.9,94.3,94.3,89.0,1001,Abbotsford Public School,COMPOSITE_CLASS_STUDENTS,302.0,176.0,172.0,225.0,349.0,182.0,304.0,299.0
2,1001,Abbotsford Public School,94.3,95.9,95.7,95.3,94.6,95.2,94.1,94.9,94.3,94.3,89.0,1001,Abbotsford Public School,PCT_COMPOSITE_CLASSES,50.0,25.0,25.0,32.0,50.0,30.4,52.4,57.9
3,1001,Abbotsford Public School,94.3,95.9,95.7,95.3,94.6,95.2,94.1,94.9,94.3,94.3,89.0,1001,Abbotsford Public School,PCT_COMPOSITE_CLASS_STUDENTS,53.5,29.5,28.4,35.4,56.5,31.9,58.7,61.9
4,1002,Aberdeen Public School,93.6,94.2,95.2,95.3,95.0,92.7,91.9,91.3,89.5,88.4,83.9,1002,Aberdeen Public School,COMPOSITE_CLASS_COUNT,1.0,4.0,5.0,5.0,5.0,7.0,6.0,2.0
5,1002,Aberdeen Public School,93.6,94.2,95.2,95.3,95.0,92.7,91.9,91.3,89.5,88.4,83.9,1002,Aberdeen Public School,COMPOSITE_CLASS_STUDENTS,29.0,106.0,132.0,132.0,109.0,184.0,145.0,54.0
6,1002,Aberdeen Public School,93.6,94.2,95.2,95.3,95.0,92.7,91.9,91.3,89.5,88.4,83.9,1002,Aberdeen Public School,PCT_COMPOSITE_CLASSES,12.5,44.4,55.6,55.6,50.0,87.5,75.0,25.0
7,1002,Aberdeen Public School,93.6,94.2,95.2,95.3,95.0,92.7,91.9,91.3,89.5,88.4,83.9,1002,Aberdeen Public School,PCT_COMPOSITE_CLASS_STUDENTS,14.5,49.5,55.9,57.9,53.2,89.3,78.4,33.3
8,1003,Abermain Public School,93.5,93.0,92.0,92.8,91.4,91.5,92.8,91.0,90.3,89.2,85.2,1003,Abermain Public School,COMPOSITE_CLASS_COUNT,8.0,5.0,6.0,5.0,6.0,6.0,11.0,6.0
9,1003,Abermain Public School,93.5,93.0,92.0,92.8,91.4,91.5,92.8,91.0,90.3,89.2,85.2,1003,Abermain Public School,COMPOSITE_CLASS_STUDENTS,189.0,142.0,167.0,140.0,173.0,160.0,270.0,154.0
